iteration_no.	mse
1	0.05979089
2	0.058288604
3	0.056830082
4	0.055416781
5	0.054049884
6	0.052730298
7	0.051458661
8	0.050235349
9	0.049060486
10	0.047933957
11	0.046855427
12	0.045824357
13	0.044840021
14	0.043901531
15	0.043007854
16	0.042157833
17	0.041350207
18	0.040583631
19	0.039856693
20	0.039167931
21	0.03851585
22	0.037898936
23	0.037315669
24	0.036764531
25	0.036244023
26	0.035752666
27	0.035289013
28	0.034851654
29	0.034439218
30	0.034050384
31	0.033683873
32	0.033338461
33	0.033012973
34	0.032706286
35	0.03241733
36	0.032145086
37	0.031888588
38	0.031646917
39	0.031419205
40	0.03120463
41	0.031002416
42	0.03081183
43	0.030632183
44	0.030462824
45	0.030303141
46	0.030152558
47	0.030010534
48	0.02987656
49	0.029750157
50	0.029630878
51	0.029518301
52	0.029412029
53	0.029311691
54	0.029216939
55	0.029127445
56	0.029042902
57	0.028963023
58	0.028887535
59	0.028816186
60	0.028748736
61	0.028684963
62	0.028624654
63	0.028567614
64	0.028513656
65	0.028462605
66	0.028414298
67	0.028368581
68	0.028325309
69	0.028284345
70	0.028245561
71	0.028208837
72	0.028174058
73	0.028141118
74	0.028109916
75	0.028080356
76	0.028052351
77	0.028025814
78	0.028000668
79	0.027976836
80	0.027954248
81	0.027932837
82	0.027912541
83	0.0278933
84	0.027875058
85	0.027857762
86	0.027841362
87	0.02782581
88	0.027811063
89	0.027797078
90	0.027783814
91	0.027771235
92	0.027759305
93	0.02774799
94	0.027737257
95	0.027727078
96	0.027717423
97	0.027708265
98	0.02769958
99	0.027691341
100	0.027683528
101	0.027676118
102	0.02766909
103	0.027662425
104	0.027656105
105	0.027650113
106	0.027644431
107	0.027639044
108	0.027633938
109	0.027629098
110	0.027624511
111	0.027620164
112	0.027616045
113	0.027612144
114	0.027608449
115	0.027604951
116	0.027601638
117	0.027598504
118	0.027595538
119	0.027592733
120	0.02759008
121	0.027587573
122	0.027585204
123	0.027582968
124	0.027580856
125	0.027578865
126	0.027576987
127	0.027575218
128	0.027573552
129	0.027571985
130	0.027570512
131	0.027569129
132	0.027567832
133	0.027566616
134	0.027565479
135	0.027564416
136	0.027563425
137	0.027562502
138	0.027561645
139	0.027560849
140	0.027560114
141	0.027559436
142	0.027558813
143	0.027558242
144	0.027557722
145	0.02755725
146	0.027556825
147	0.027556445
148	0.027556108
149	0.027555812
150	0.027555556
151	0.027555338
152	0.027555157
153	0.027555013
154	0.027554902
155	0.027554825
156	0.02755478
157	0.027554766
158	0.027554783
159	0.027554829
160	0.027554903
161	0.027555005
162	0.027555134
163	0.027555289
164	0.027555469
165	0.027555674
166	0.027555903
167	0.027556156
168	0.027556431
169	0.02755673
170	0.02755705
171	0.027557392
172	0.027557755
173	0.02755814
174	0.027558544
175	0.027558969
176	0.027559413
177	0.027559877
178	0.027560361
179	0.027560863
180	0.027561384
181	0.027561924
182	0.027562481
183	0.027563058
184	0.027563652
185	0.027564264
186	0.027564893
187	0.02756554
188	0.027566205
189	0.027566887
190	0.027567586
191	0.027568302
192	0.027569036
193	0.027569786
194	0.027570554
195	0.027571338
196	0.027572139
197	0.027572957
198	0.027573792
199	0.027574644
200	0.027575512
201	0.027576397
202	0.027577299
203	0.027578218
204	0.027579153
205	0.027580105
206	0.027581074
207	0.02758206
208	0.027583063
209	0.027584082
210	0.027585119
211	0.027586172
212	0.027587242
213	0.02758833
214	0.027589434
215	0.027590555
216	0.027591694
217	0.027592849
218	0.027594022
219	0.027595212
220	0.02759642
221	0.027597644
222	0.027598886
223	0.027600146
224	0.027601423
225	0.027602717
226	0.027604029
227	0.027605359
228	0.027606706
229	0.027608072
230	0.027609454
231	0.027610855
232	0.027612274
233	0.02761371
234	0.027615164
235	0.027616637
